,autoencoding_loss,binarize_thresh,budget_hours,color,color_0,contractive,contractive_coef,dataset,denoise,eps,filter_size,id,k,k_0,k_1,k_2,k_3,k_4,l2,lr,marginalized,max_nb_epochs,merge_op,mode,model_name,n_steps,nb_fc_layers,nb_fc_units_0,nb_fc_units_1,nb_fc_units_2,nb_fc_units_3,nb_filters_0,nb_filters_1,nb_filters_2,nb_filters_3,nb_filters_4,nb_filters_mul,nb_hidden_units_0,nb_hidden_units_1,nb_hidden_units_2,nb_hidden_units_3,nb_hidden_units_4,nb_layers,nb_recurrent_layers,nb_recurrent_units_0,nb_recurrent_units_1,nb_recurrent_units_2,nbatch,ndf,ndfc,ngf,ngfc,niter,niter_decay,noise,nonlin,nonlin_out,normalize_func,nz,parallel,parallel_reduce_func,parallel_share,patch_index,patch_size,recurrent_model,reduce_func,scale,sparse_func,stride,use_wta_channel,use_wta_sparse,use_wta_spatial,walkback,walkback_mode,weight_sharing,wta_channel_stride,wta_sparse_perc,x_max,x_min,x_sigma,x_stride,y_max,y_min,y_sigma,y_stride,in_objectness,out_objectness,in_max,in_count,out_max,out_count
702,squared_error,,2.0,,,False,,digits,,,,d8d49c62187ec80264c87af3226200a8,,,,,,,,,False,,,,model64,,,,,,,,,,,,,500.0,300.0,700.0,400.0,300.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.636363636364,,,,,,,,,5.14264678955,8.98176670074,0.467868749322,0.386663467414,0.639371406145,0.396957304866
703,squared_error,,2.0,,,False,,digits,,,,03965ea5a611484fd3a426f8e7d89dc7,,,,,,,,,False,,,,model64,,,,,,,,,,,,,800.0,600.0,500.0,800.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.727272727273,,,,,,,,,4.62078523636,7.54614162445,0.49173854509,0.38376577837,0.582518366602,0.322593438131
704,squared_error,,2.0,,,False,,digits,,,,eeeb9336a81f404833dda6fe3918da0f,,,,,,,,,False,,,,model64,,,,,,,,,,,,,700.0,300.0,100.0,600.0,900.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.525252525253,,,,,,,,,4.44926977158,6.37894010544,0.495490880913,0.419102131807,0.566446168282,0.20108387012
705,squared_error,,2.0,,,False,,digits,0.0,,,e586f242f99d3eabb90ccb6f32487b5a,,,,,,,,,False,,,,model64,,,,,,,,,,,,,500.0,500.0,300.0,900.0,400.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.333333333333,,,,,,,,,4.45201158524,7.51362037659,0.416997880416,0.39105800607,0.621273780138,0.281010845702
706,squared_error,,2.0,,,False,,digits,0.131313131313,,,1bcbb8839774e00c6e84edd345432108,,,,,,,,,False,,,,model64,,,,,,,,,,,,,300.0,1000.0,100.0,700.0,900.0,5.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.848484848485,,,,,,,,,5.03143215179,6.51620101929,0.741876744699,0.576467036319,0.372449660009,0.250948433826
707,squared_error,,2.0,,,False,,digits,0.30303030303,,,a99e35e5b592e100f91a60b90ee5aa85,,,,,,,,,False,,,,model64,,,,,,,,,,,,,600.0,500.0,300.0,900.0,700.0,5.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.868686868687,,,,,,,,,6.25802373886,9.52202701569,0.784830093488,0.701078886017,0.413694224013,0.233301851687
708,squared_error,0.5,2.0,,,False,,digits,,,,4d99db8ef46a937bd36bcc4f51b980a5,,,,,,,,,False,,,,model64,,,,,,,,,,,,,400.0,700.0,200.0,300.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.737373737374,,,,,,,,,4.97137069702,8.3893289566,0.471561126442,0.244707986848,0.628691546658,0.394344707446
709,squared_error,0.5,2.0,,,False,,digits,,,,25189fe99a4f132d418252a356675300,,,,,,,,,False,,,,model64,,,,,,,,,,,,,900.0,600.0,1000.0,800.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.555555555556,,,,,,,,,4.38440895081,8.3201341629,0.446877250993,0.243068721492,0.61383601746,0.312044000948
710,squared_error,0.5,2.0,,,False,,digits,,,,00f9f1c615cfda3750d9d1079a1649ce,,,,,,,,,False,,,,model64,,,,,,,,,,,,,400.0,900.0,500.0,600.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.808080808081,,,,,,,,,4.41450881958,6.92423677444,0.465007046446,0.308767249096,0.565255465968,0.288732362054
711,squared_error,,2.0,,,True,82.6086956522,digits,0.0757575757576,,,e0c7b4fec11ab26f6d70aeac6676b258,,,,,,,,,False,,,,model64,,,,,,,,,,,,,800.0,,,,,1.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.232323232323,,,,,,,,,5.11441087723,8.3946647644,0.513548015502,0.202537143086,0.593160234927,0.34092634719
712,squared_error,,2.0,,,False,,digits,,,,cff2d92aa8e2509fdb959f6af31bdea4,,,,,,,,,False,,,,model64,,,,,,,,,,,,,400.0,600.0,300.0,700.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.818181818182,,,,,,,,,4.0668888092,5.57794523239,0.609516518797,0.283147263292,0.457710983581,0.284208936253
713,squared_error,,2.0,,,False,,digits,,,,940a30f39df081d21af22a10fbdc5b7c,,,,,,,,,False,,,,model64,,,,,,,,,,,,,200.0,900.0,400.0,900.0,700.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.79797979798,,,,,,,,,5.43681430817,8.17078304291,0.520518999329,0.362277621147,0.627068933702,0.35229144012
714,squared_error,,6.0,,,False,,digits,,,5.0,b8eee9d849953143c33346ecb34b5a35,,,,,,,,,False,,,,model55,,,,,,,512.0,512.0,32.0,128.0,256.0,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,1.0,bengio_without_sampling,,3.0,,,,,,,,,,4.77546310425,9.9470281601,0.448544536632,0.254015142886,0.63164615966,0.335701601857
715,squared_error,,2.0,,,False,,digits,,,,1226f3d43e8e9f456ed45fae9ec9228f,,,,,,,,,False,,,,model64,,,,,,,,,,,,,700.0,600.0,300.0,900.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.707070707071,,,,,,,,,4.21055221558,7.19908952713,0.486376114919,0.284488047442,0.58593086997,0.259116132705
716,squared_error,0.5,2.0,,,False,,digits,,,,1f9dcaf6b4c9a68484be472f3ef34605,,,,,,,,,False,,,,model64,,,,,,,,,,,,,800.0,800.0,400.0,800.0,600.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.949494949495,,,,,,,,,5.13652610779,9.34300041199,0.525548468588,0.301286534827,0.591273681087,0.340073623839
717,squared_error,,2.0,,,False,,digits,0.242424242424,,,40b712f73e9c354bc078db2c3aabb418,,,,,,,,,False,,,,model64,,,,,,,,,,,,,500.0,200.0,700.0,300.0,900.0,5.0,,,,,,,,,,,,salt_and_pepper,,,,,,,,,,,,,,,,True,,1.0,bengio_without_sampling,,,0.585858585859,,,,,,,,,6.00483989716,7.21817970276,0.725247920592,0.581533610967,0.426645069755,0.344677662718
